ID,Title,Desc,Type,BodyPart,Equipment,Level,Rating
26,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,3.85
27,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Strength,Abdominals,Kettlebells,Intermediate,3.85
28,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Strength,Abdominals,Kettlebells,Intermediate,3.85
29,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
30,Taylor Single-Arm Kettlebell Swing,"A kettlebell swing variation performed with one arm, engaging the core and posterior chain.",Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
31,Holman Kettlebell Up to Elbow Down,"A kettlebell exercise involving a fluid motion of lifting the kettlebell up to the elbow and then lowering it back down, targeting the shoulders and core.",Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
32,FYR2 Double-Kettlebell Ski,"A dynamic kettlebell exercise mimicking the skiing motion, engaging the lower body and core.",Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
33,FYR2 Kettlebell Hike,A foundational kettlebell exercise involving the initial hike motion before transitioning into other movements.,Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
34,FYR2 Kettlebell Cross-Body Catch,A coordination-focused kettlebell exercise involving catching and transferring the kettlebell across the body.,Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
35,FYR2 Kettlebell Duck Walk,"A lower body-focused kettlebell exercise performed in a squat position while walking, targeting the quads, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
36,FYR2 Kettlebell Get-Up Reach,"A variation of the kettlebell get-up exercise incorporating a reaching motion, enhancing shoulder stability and mobility.",Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
37,FYR2 Kettlebell Juggle,A challenging kettlebell exercise involving juggling motions to enhance hand-eye coordination and grip strength.,Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
38,FYR2 Squat-Clean-Alternating-Press Complex,"A complex exercise combining squatting, cleaning, alternating pressing with kettlebells, engaging multiple muscle groups.",Strength,Abdominals,Kettlebells,Intermediate,3.8500000000000005
39,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,9.3
40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,9.3
41,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Intermediate,8.6
42,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,8.95
43,Dumbbell Fix Dumbbell Sprawl,"A full-body exercise involving a dynamic movement with dumbbells, targeting strength and conditioning.",Strength,Abdominals,Dumbbell,Intermediate,8.95
44,Dumbbell Fix Alternating Renegade Row,A core-strengthening exercise alternating rowing motions with dumbbells from a plank position.,Strength,Abdominals,Dumbbell,Intermediate,8.95
45,Dumbbell Fix Dumbbell Mountain Climber,"A dynamic core exercise performed in a plank position, involving bringing the knees towards the chest alternately.",Strength,Abdominals,Dumbbell,Intermediate,8.95
46,Dumbbell Fix Dumbbell Russian Twist,"A rotational core exercise performed with a dumbbell, targeting the obliques and abdominals.",Strength,Abdominals,Dumbbell,Intermediate,8.950000000000001
47,Dumbbell Fix Dumbbell Pull-Over,"A compound exercise primarily targeting the chest, back, and triceps using a dumbbell.",Strength,Abdominals,Dumbbell,Intermediate,8.950000000000001
48,Dumbbell Fix Dumbbell Sit-Up,A core exercise incorporating a dumbbell while performing sit-ups to increase resistance and challenge the core muscles.,Strength,Abdominals,Dumbbell,Intermediate,8.95
49,Dumbbell Fix Dumbbell Front Squat,"A lower body exercise involving squatting with dumbbells held at shoulder height, targeting the quadriceps and glutes.",Strength,Abdominals,Dumbbell,Intermediate,8.95
50,Dumbbell Fix Full Man Maker,"A full-body exercise combining push-ups, rows, and squat thrusts with dumbbells.",Strength,Abdominals,Dumbbell,Intermediate,8.95
51,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Intermediate,8.95
52,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Abdominals,Dumbbell,Intermediate,8.95
53,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,8.95
54,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,8.95
55,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Strength,Abdominals,Dumbbell,Intermediate,8.95
56,HM Alternating Dumbbell Plank Row,A core and upper body exercise involving rowing motions with dumbbells from a plank position.,Strength,Abdominals,Dumbbell,Intermediate,8.95
57,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Abdominals,Dumbbell,Intermediate,8.95
58,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Strength,Abdominals,Dumbbell,Intermediate,8.95
59,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,8.95
60,30 Hanging Leg Raise With Dumbbell,"A challenging core exercise performed hanging from a bar, involving raising the legs while holding a dumbbell between the feet.",Strength,Abdominals,Dumbbell,Intermediate,8.95
61,Dumbbell Get-Up Sit-Up,A core exercise combining the movements of a sit-up and a dumbbell overhead press.,Strength,Abdominals,Dumbbell,Expert,8.16
62,Holman Right Side Plank with Left Triceps Press,"A core and triceps exercise performed in a side plank position, focusing on stability and strength.",Strength,Abdominals,Dumbbell,Intermediate,8.95
63,Holman Left Side Plank with Right Triceps Press,"Similar to the previous exercise, targeting the left side plank and right triceps.",Strength,Abdominals,Dumbbell,Intermediate,8.95
64,Holman Boat with Feet Push-Out and Overhead Press,A core exercise performed in a boat pose while pushing the feet out and performing overhead presses with weights.,Strength,Abdominals,Dumbbell,Intermediate,8.95
65,Holman Hovering Plank Row,A challenging core and upper body exercise involving rowing motions from a hovering plank position.,Strength,Abdominals,Dumbbell,Intermediate,8.95
66,Holman Weighted Seated Killer Abs to Russian Twist,A seated core exercise combining killer abs movements with Russian twists while holding weights.,Strength,Abdominals,Dumbbell,Intermediate,8.95
67,Holman Straight Plank Dumbbell Reach-Under,"A core exercise performed in a plank position with a dumbbell, involving reaching under the body.",Strength,Abdominals,Dumbbell,Intermediate,8.95
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,"A challenging core and shoulder exercise performed in a side plank position with straight arms, involving overhead and chest presses with weights.",Strength,Abdominals,Dumbbell,Intermediate,8.95
69,Holman Weighted Burpee to Pike,"A full-body exercise combining burpees with pike movements, incorporating weights for added resistance.",Strength,Abdominals,Dumbbell,Intermediate,8.95
70,Holman Straight-Legged Boat Chest Press,A core exercise performed in a boat pose while performing chest presses with weights.,Strength,Abdominals,Dumbbell,Intermediate,8.95
71,Holman Weighted Burpee to Side Delt Raise,A full-body exercise combining burpees with side delt raises using weights.,Strength,Abdominals,Dumbbell,Intermediate,8.95
72,Holman Heavy Double Pike,A challenging core exercise involving piking with weights held in both hands.,Strength,Abdominals,Dumbbell,Intermediate,8.95
73,Holman Heavy Double Split Pike,"Similar to the previous exercise, involving splitting the legs while piking with weights.",Strength,Abdominals,Dumbbell,Intermediate,8.95
74,MetaBurn Alternating Dumbbell Sit-Through,A dynamic core exercise involving alternating sit-through motions while holding dumbbells.,Strength,Abdominals,Dumbbell,Intermediate,8.95
75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,"A core and upper body exercise performed in a plank position, involving alternating rows with dumbbells and pull-through motions.",Strength,Abdominals,Dumbbell,Intermediate,8.95
76,MetaBurn Alternating Plank Row With Push-Up,"Similar to the previous exercise, incorporating push-ups between alternating rows.",Strength,Abdominals,Dumbbell,Intermediate,8.95
77,MetaBurn Dumbbell Russian Twist,"A core exercise involving twisting motions while holding a dumbbell, targeting the obliques.",Strength,Abdominals,Dumbbell,Intermediate,8.95
78,MetaBurn Dumbbell Toe-Touch,A core exercise involving raising the legs and reaching for the toes while holding a dumbbell.,Strength,Abdominals,Dumbbell,Intermediate,8.95
79,MetaBurn Plank To Alternating Row,A core and upper body exercise transitioning from a plank position to alternating rows with dumbbells.,Strength,Abdominals,Dumbbell,Intermediate,8.95
80,Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",Strength,Abdominals,Dumbbell,Intermediate,8.95
81,MetaBurn Plank With Dumbbell Rotation,A core exercise performed in a plank position with rotation motions using dumbbells.,Strength,Abdominals,Dumbbell,Intermediate,8.95
82,FYR2 Dumbbell Crab Reach,"A dynamic full-body exercise performed in a crab position, involving reaching movements with dumbbells.",Strength,Abdominals,Dumbbell,Intermediate,8.95
83,FYR2 Dumbbell Man-Maker,"A challenging full-body exercise combining multiple movements including push-ups, rows, and squat thrusts with dumbbells.",Strength,Abdominals,Dumbbell,Intermediate,8.95
84,FYR2 Dumbbell Sit-Up Reach,A core exercise incorporating a sit-up motion with reaching movements while holding dumbbells.,Strength,Abdominals,Dumbbell,Intermediate,8.95
85,FYR2 Loaded Beast Sprawl,A full-body exercise involving a loaded beast (bear) position with added resistance.,Strength,Abdominals,Dumbbell,Intermediate,8.95
86,FYR2 Loaded to Unloaded Beast,"Transitioning from a loaded beast position to an unloaded (bear) position, engaging the core and upper body.",Strength,Abdominals,Dumbbell,Intermediate,8.95
87,Lying Leg Pullover,A core and upper body exercise involving lying on the back and performing pullover motions with legs extended.,Strength,Abdominals,Dumbbell,Intermediate,8.95
88,Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Strength,Abdominals,Other,Intermediate,9.5
89,Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Strength,Abdominals,Other,Intermediate,9.3
90,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Other,Intermediate,9.2
91,Plate Twist,"A rotational core exercise performed holding a weight plate, targeting the obliques.",Strength,Abdominals,Other,Beginner,9.0
92,Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Other,Intermediate,8.9
93,Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Strength,Abdominals,Other,Intermediate,8.9
94,Otis-Up,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",Strength,Abdominals,Other,Intermediate,8.8
95,Captain's chair knee raise,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,Other,Intermediate,8.6
96,Sledgehammer swing,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,Plyometrics,Abdominals,Other,Intermediate,8.6
97,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,8.5
98,Pallof press,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",Strength,Abdominals,Other,Intermediate,8.4
99,Weighted Sit-Ups - With Bands,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,Other,Intermediate,8.0
100,Suitcase crunch,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Other,Intermediate,0.0
101,FYR Rope Jumping,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",Strength,Abdominals,Other,Intermediate,7.960000000000001
102,Barbell press sit-up,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",Strength,Abdominals,Other,Intermediate,7.960000000000001
103,Single-arm bent-over rear delt fly,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Strength,Abdominals,Other,Intermediate,7.960000000000001
104,Captain's chair leg raise,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,Other,Intermediate,7.960000000000001
105,Shoulder-Elevated One-Leg Hip Thrusts,"A variation of the hip thrust exercise performed with one leg elevated, targeting the glutes and hamstrings.",Strength,Abdominals,Other,Intermediate,7.960000000000001
106,Ab Twist - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Other,Intermediate,7.960000000000001
107,Weighted Crunch - Gethin Variation,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,Other,Intermediate,7.960000000000001
108,Ab Wheel Roll-Out - Gethin Variation,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Strength,Abdominals,Other,Intermediate,7.960000000000001
109,Bench crunch,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Abdominals,Other,Intermediate,7.960000000000001
110,Decline plate sit-up twist,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Other,Intermediate,7.960000000000001
111,Reverse ab roll-out,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.",Strength,Abdominals,Other,Intermediate,7.960000000000001
112,30 Seated Twist With PVC Pipe,The seated bar twist is a core exercise aiming to strengthen the obliques.,Strength,Abdominals,Other,Intermediate,7.960000000000001
113,Suspended crunch-,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",Strength,Abdominals,Other,Intermediate,7.960000000000001
114,Suspended oblique crunch,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.",Strength,Abdominals,Other,Intermediate,7.960000000000001
115,Weighted sit-up,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,Other,Intermediate,7.960000000000001
116,30 Decline Press Sit-Up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,Strength,Abdominals,Other,Intermediate,7.960000000000001
117,Holman Towel Reverse Plank Alternating Heel Pull-in,"A core and lower body exercise performed in a reverse plank position, involving alternating heel pull-ins using a towel for added resistance.",Strength,Abdominals,Other,Intermediate,7.960000000000001
118,Holman Boat with Weighted Cross Punch,A core exercise performed in a boat pose while punching across the body with weights.,Strength,Abdominals,Other,Intermediate,7.960000000000001
119,Holman Weighted Hook Punch,"A core and upper body exercise involving hook punches with weights, targeting the obliques and arms.",Strength,Abdominals,Other,Intermediate,7.960000000000001
120,Holman Weighted Traveling Punch,A dynamic core and upper body exercise involving traveling punches with weights.,Strength,Abdominals,Other,Intermediate,7.960000000000001
121,Holman Weighted Uppercut Punch,"An exercise targeting the core and arms, involving uppercut punches with weights.",Strength,Abdominals,Other,Intermediate,7.960000000000001
122,Holman Slow Weighted Double Pike,A core exercise performed with slow and controlled piking motions while holding weights.,Strength,Abdominals,Other,Intermediate,7.960000000000001
123,Holman Plate Straight Plank Reach,A core exercise performed in a plank position with reaching motions using a weight plate.,Strength,Abdominals,Other,Intermediate,7.960000000000001
